"Val","N","Norm","STATUS_REASON","Category"
"OTH",251832,17.48643897,"OTHER* / SEE REMARKS.","Other"
"RSR",117496,8.1585606,"YOU MAY RESUBMIT YOUR APPEAL IN PROPER FORM WITHIN 10 DAYS OF THE DATE OF THIS REJECTION NOTICE.","Resubmit Notice"
"RSA",110702,7.686806152,"YOU MAY RESUBMIT YOUR APPEAL IN PROPER FORM WITHIN 15 DAYS OF THE DATE OF THIS REJECTION NOTICE.","Resubmit Notice"
"INF",94182,6.539708198,"YOU DID NOT ATTEMPT INFORMAL RESOLUTION PRIOR TO SUBMISSION OF ADMINISTRATIVE REMEDY, OR YOU DID NOT PROVIDE THE NECESSARY EVIDENCE OF YOUR ATTEMPT AT INFORMAL RESOLUTION.","Attempt informal"
"INS",79979,5.553495594,"YOU MUST FIRST FILE A BP-9 REQUEST THROUGH THE INSTITUTION FOR THE WARDEN'S REVIEW AND RESPONSE BEFORE FILING AN APPEAL AT THIS LEVEL.","Level"
"WRL",72005,4.999805577,"YOU SUBMITTED YOUR REQUEST OR APPEAL TO THE WRONG LEVEL OR WRONG OFFICE.","Level"
"RSF",69599,4.832740342,"YOU MAY RESUBMIT YOUR REQUEST IN PROPER FORM WITHIN 5 DAYS OF THE DATE OF THIS REJECTION NOTICE.","Timely"
"IRQ",68942,4.787120284,"YOU DID NOT PROVIDE A COPY OF YOUR INSTITUTION ADMINISTRATIVE REMEDY REQUEST (BP-9), OR A RECEIPT, OR YOU DID NOT PROVIDE A VERIFIED PHOTOCOPY.","Forms"
"UTR",60413,4.194892776,"YOUR APPEAL IS UNTIMELY. REGIONAL APPEALS MUST BE RECEIVED WITHIN 20 DAYS OF THE WARDEN'S OR CCM'S RESPONSE. THIS TIME LIMIT INCLUDES MAIL TIME.","Timely"
"SEN",54744,3.801254864,"THE ISSUE YOU RAISE IS NOT A SENSITIVE ISSUE. YOUR REQUEST/APPEAL IS NOT BEING RETURNED TO YOU IN ACCORDANCE WITH POLICY.","Sensitive"
"ONE",50007,3.472332164,"YOU MAY ONLY SUBMIT UP TO ONE LETTER-SIZE (8 1/2"" X 11"") CONTINUATION PAGE.","Forms"
"UTF",43574,3.025644444,"YOUR REQUEST IS UNTIMELY. INSTITUTION AND CCC REQUESTS MUST BE RECEIVED WITHIN 20 DAYS OF THE EVENT COMPLAINED ABOUT.","Timely"
"FRM",38375,2.664641886,"YOU DID NOT SUBMIT YOUR REQUEST OR APPEAL ON THE PROPER FORM (BP-9, BP-10, BP-11).","Forms"
"DHO",31847,2.211357658,"YOU DID NOT PROVIDE A COPY OF THE DHO REPORT; OR YOU DID NOT OTHERWISE IDENTIFY THE CHARGES AND DATE OF THE DHO ACTION YOU ARE APPEALING.","Forms"
"CPG",30752,2.135324229,"YOU DID NOT SUBMIT THE PROPER NUMBER OF CONTINUATION PAGES. YOU MUST SUBMIT ONE COPY AT THE WARDEN’S LEVEL; TWO COPIES AT THE REGIONAL DIRECTOR’S LEVEL; AND THREE COPIES AT THE CENTRAL OFFICE LEVEL.","Forms"
"SIG",28751,1.996380948,"YOU DID NOT SIGN YOUR REQUEST OR APPEAL.","Forms"
"MSI",26059,1.809456753,"YOU MUST PROVIDE MORE SPECIFIC INFORMATION ABOUT YOUR REQUEST/APPEAL SO THAT IT MAY BE CONSIDERED.","Process"
